Date: 2018-01-28 13:28:48.452097

---Species concentration bounds--- 
Ester : (3800.0, 4200.0)
afEst2 : (9.5, 10.5)

--- Parameters --- 
afest_kcat : (5, 7)
afest_km_ester : (1300, 1700)


--- Ester Uncertainty Analysis Quartiles ---
Time, Ester High, Ester Low, Ester Mean, 
121.0, 648.890436746, 164.584197774, 381.772621753, 
122.0, 633.895260904, 157.700127088, 370.454568814, 
123.0, 619.152119886, 151.076275735, 359.418162163, 
124.0, 604.659982423, 144.704883979, 348.659118048, 
125.0, 590.417731569, 138.578274402, 338.173089509, 
126.0, 576.424165095, 132.688863316, 327.955672984, 
127.0, 562.677996068, 127.029167609, 318.002415058, 
128.0, 549.17785364, 121.591814868, 308.308818297, 
129.0, 535.922284158, 116.36955181, 298.870347624, 
130.0, 522.909752702, 111.355249779, 289.682436814, 
131.0, 510.13864365, 106.5419121, 280.740493927, 
132.0, 497.607262235, 101.922679783, 272.039907637, 
133.0, 485.313836097, 97.4908356912, 263.576053196, 
134.0, 473.25651691, 93.2398093208, 255.344297727, 
135.0, 461.433382188, 89.1631802915, 247.340005437, 
136.0, 449.842437258, 85.2546809535, 239.558543184, 
137.0, 438.481617325, 81.508199014, 231.995285543, 
138.0, 427.348789647, 77.9177791527, 224.645619775, 
139.0, 416.441754936, 74.477624024, 217.504950457, 
140.0, 405.758250445, 71.1820952206, 210.568703881, 
141.0, 395.270099075, 68.0257134073, 203.832332212, 
142.0, 384.990962471, 65.0031579942, 197.2913178, 
143.0, 374.929496508, 62.1092666318, 190.941177084, 
144.0, 365.083196212, 59.3390341888, 184.777464014, 
145.0, 355.449505975, 56.6876113526, 178.79577355, 
146.0, 346.025821907, 54.1503030288, 172.991744956, 
147.0, 336.809494961, 51.7225664448, 167.361064745, 
148.0, 327.797832534, 49.4000089286, 161.899469491, 
149.0, 318.988100649, 47.1783855118, 156.602748447, 
150.0, 310.377529757, 45.053596394, 151.466745866, 
151.0, 301.963316797, 43.0216841505, 146.487363226, 
152.0, 293.742628499, 41.078830733, 141.660561286, 
153.0, 285.712602157, 39.2213546097, 136.982361837, 
154.0, 277.870349811, 37.4457076736, 132.448849362, 
155.0, 270.212961939, 35.7484718771, 128.056172447, 
156.0, 262.737509988, 34.126355661, 123.800545042, 
157.0, 255.44871775, 32.5761911789, 119.678247547, 
158.0, 248.681350045, 31.094930841, 115.685627815, 
159.0, 242.070770211, 29.6796435834, 111.819101959, 
160.0, 235.614384851, 28.3275115213, 108.075154979, 
161.0, 229.30959843, 27.0358267151, 104.450341168, 
162.0, 223.153815605, 25.8019877672, 100.941284569, 
163.0, 217.144443059, 24.6234965308, 97.544679193, 
164.0, 211.278891316, 23.497954798, 94.2572891261, 
165.0, 205.554576738, 22.4230608188, 91.0759485875, 
166.0, 199.968923324, 21.3966060317, 87.9975618649, 
167.0, 194.519364593, 20.4164720693, 85.0191029816, 
168.0, 189.203345793, 19.4806275326, 82.1376154339, 
169.0, 184.018324823, 18.5871249207, 79.3502118371, 
170.0, 178.961773988, 17.7340976838, 76.6540734122, 
171.0, 174.031181498, 16.9197572185, 74.0464494999, 
172.0, 169.224052947, 16.1423899196, 71.5246569662, 
173.0, 164.537913532, 15.4003545451, 69.086079409, 
174.0, 159.970308612, 14.692079386, 66.7281664773, 
175.0, 155.518804799, 14.0160595768, 64.4484331209, 
176.0, 151.180991323, 13.3708545924, 62.2444586358, 
177.0, 146.954481078, 12.7550857316, 60.1138858237, 
178.0, 142.836912083, 12.1674336467, 58.0544201182, 
179.0, 138.825948765, 11.6066360532, 56.063828544, 
180.0, 134.919281913, 11.0714854353, 54.1399387388, 
181.0, 131.114629896, 10.5608267681, 52.2806379113, 
182.0, 127.409739384, 10.0648366853, 50.4838717802, 
183.0, 123.802386151, 9.58608714582, 48.7476435359, 
184.0, 120.290376498, 9.12996121163, 47.0700127475, 
185.0, 116.871546879, 8.69540360003, 45.4490942395, 
186.0, 113.543764585, 8.28140698878, 43.8830569524, 
187.0, 110.304928281, 7.88700992646, 42.370122872, 
188.0, 107.152968384, 7.5112948683, 40.9085658666, 
189.0, 104.085847953, 7.15338627819, 39.4967105533, 
190.0, 101.101562757, 6.81244876947, 38.1329311673, 
191.0, 98.1981411755, 6.48768535756, 36.8156504467, 
192.0, 95.3736446061, 6.17833577161, 35.5433384884, 
193.0, 92.6261676132, 5.88367482098, 34.3145116028, 
194.0, 89.9538381613, 5.60301084351, 33.1277312362, 
195.0, 87.3548179827, 5.3356842114, 31.981602843, 
196.0, 84.827302084, 5.08106588993, 30.8747747761, 
197.0, 82.369518912, 4.83855607001, 29.8059372064, 
198.0, 79.979730348, 4.60758284837, 28.773821048, 
199.0, 77.6562316049, 4.38760096826, 27.7771968846, 
200.0, 75.3973513369, 4.17809061118, 26.8148739141, 
201.0, 73.2014512891, 3.97855624253, 25.8856989201, 
202.0, 71.0669261146, 3.78852550554, 24.988555279, 
203.0, 68.9922032091, 3.60754815924, 24.1223619271, 
204.0, 66.9757424768, 3.43519506681, 23.2860723651, 
205.0, 65.0160361157, 3.27105722736, 22.4786737019, 
206.0, 63.1116083829, 3.11474485954, 21.6991857138, 
207.0, 61.2610152105, 2.96588650405, 20.9466598948, 
208.0, 59.4628439217, 2.82412817652, 20.2201785447, 
209.0, 57.7157129052, 2.68913255797, 19.5188538795, 
210.0, 56.018271272, 2.56057824799, 18.8418271528, 
211.0, 54.3691984099, 2.43815900398, 18.1882677961, 
212.0, 52.7672036849, 2.32158303142, 17.5573725784, 
213.0, 51.2110260407, 2.21057231182, 16.9483647758, 
214.0, 49.6994336081, 2.10486198992, 16.3604933833, 
215.0, 48.2312232745, 2.00419973775, 15.7930323261, 
216.0, 46.8052201491, 1.90834515898, 15.2452796983, 
217.0, 45.4202772092, 1.81706923214, 14.716557015, 
218.0, 44.0752749315, 1.7301538006, 14.2062084977, 
219.0, 42.7691207937, 1.64739105734, 13.7136003569, 
220.0, 41.5007488408, 1.56858304905, 13.2381201055, 
221.0, 40.2691191822, 1.49354121731, 12.7791758865, 
222.0, 39.0732174294, 1.42208595025, 12.3361958197, 
223.0, 37.9120544372, 1.35404616315, 11.9086273688, 
224.0, 36.7846657756, 1.28925889245, 11.4959367184, 
225.0, 35.6901112819, 1.22756893636, 11.0976081743, 
226.0, 34.6274745935, 1.16882847188, 10.7131435927, 
227.0, 33.595862501, 1.11366203353, 10.3420617926, 
228.0, 32.5944046743, 1.06210302273, 9.98389801178, 
229.0, 31.6222532122, 1.01292955866, 9.63820338365, 
230.0, 30.6785821577, 0.966031405365, 9.30454440232, 
231.0, 29.762587049, 0.921303410183, 8.9825024169, 
