Date: 2018-01-30 21:50:00.212320

---Species concentration bounds--- 
Ester : (2660.0, 2940.0)
afEst2 : (9.5, 10.5)

--- Parameters --- 
afest_kcat : (5, 7)
afest_km_ester : (1300, 1700)

Quartile range = 95
Number of samples = 1000

2 parameters and 2 species in uncertainty analysis
4 variables in total
4^2 = 16
4^3 = 64
1000 samples made by lhc


--- Ester Uncertainty Analysis Quartiles ---
Time, Ester High, Ester Low, Ester Mean, 
132.0, 199.397452237, 31.2402723659, 98.5212485816, 
133.0, 193.771420643, 29.8026709199, 95.1326388043, 
134.0, 188.168722271, 28.4299474795, 91.8556289141, 
135.0, 182.758700932, 27.1192871212, 88.6868931963, 
136.0, 177.705720727, 25.8324346178, 85.6231821322, 
137.0, 172.737995744, 24.5826777785, 82.6613221125, 
138.0, 167.802034421, 23.4306626642, 79.7982150598, 
139.0, 162.993409417, 22.3318374301, 77.0308379659, 
140.0, 158.309538743, 21.2838184465, 74.3562423368, 
141.0, 153.653926859, 20.2865320192, 71.7715535229, 
142.0, 148.964985218, 19.335520518, 69.2739699619, 
143.0, 144.406303125, 18.4285453393, 66.8607624072, 
144.0, 140.014767442, 17.5454114992, 64.5292730364, 
145.0, 135.962389389, 16.7030411578, 62.2769145029, 
146.0, 132.01841213, 15.9006479992, 60.1011689767, 
147.0, 128.159761427, 15.136378063, 57.9995870881, 
148.0, 124.31402549, 14.4241464084, 55.9697868363, 
149.0, 120.575507866, 13.7482156311, 54.009452472, 
150.0, 116.963836431, 13.1043712731, 52.1163333521, 
151.0, 113.493234809, 12.4904038812, 50.2882427739, 
152.0, 110.118816109, 11.898139562, 48.523056742, 
153.0, 106.83828842, 11.3391570216, 46.8187127549, 
154.0, 103.649394863, 10.7943460845, 45.1732085588, 
155.0, 100.624608772, 10.2709704036, 43.5846008978, 
156.0, 97.6860875051, 9.77278420248, 42.0510042454, 
157.0, 94.8286012731, 9.29859272681, 40.5705895307, 
158.0, 92.0501764946, 8.84852898568, 39.1415828787, 
159.0, 89.3488736813, 8.42182802177, 37.7622643212, 
160.0, 86.7227876268, 8.01558573275, 36.4309665298, 
161.0, 84.1645013118, 7.6288322621, 35.1460735569, 
162.0, 81.6050415541, 7.26064270385, 33.9060195574, 
163.0, 79.0498799512, 6.91017980944, 32.7092875486, 
164.0, 76.5709352286, 6.57709595876, 31.554408163, 
165.0, 74.1661579706, 6.26453994507, 30.4399584225, 
166.0, 71.832826684, 5.96991512598, 29.3645605114, 
167.0, 69.6596262711, 5.68909210317, 28.3268805781, 
168.0, 67.5757080732, 5.42142934743, 27.3256275514, 
169.0, 65.5478439919, 5.16631468395, 26.3595519661, 
170.0, 63.5785091123, 4.92316400095, 25.4274448071, 
171.0, 61.6198155233, 4.6914199966, 24.5281363792, 
172.0, 59.6195324277, 4.46845854655, 23.6604951966, 
173.0, 57.7038995909, 4.25427592556, 22.8234268804, 
174.0, 55.9260566454, 4.05032934967, 22.0158730864, 
175.0, 54.2011439747, 3.8561324234, 21.2368104543, 
176.0, 52.5264339735, 3.67122162467, 20.4852495719, 
177.0, 50.8491152019, 3.49515523113, 19.7602339666, 
178.0, 49.2236656538, 3.32751231162, 19.0608391163, 
179.0, 47.6893075506, 3.16789177865, 18.386171483, 
180.0, 46.2305292912, 3.01591145618, 17.7353675662, 
181.0, 44.8151924947, 2.87120721547, 17.1075929825, 
182.0, 43.4420729393, 2.73343213525, 16.5020415642, 
183.0, 42.1099768803, 2.60225570035, 15.9179344789, 
184.0, 40.8177405835, 2.47736303828, 15.3545193721, 
185.0, 39.56422965, 2.35845421251, 14.8110695329, 
186.0, 38.3476628441, 2.24524348047, 14.2868830831, 
187.0, 37.1551999004, 2.13745865766, 13.7812821803, 
188.0, 35.9989816564, 2.03484049798, 13.293612249, 
189.0, 34.877956579, 1.93720363772, 12.82324123, 
190.0, 33.7903897154, 1.84425096158, 12.3695588528, 
191.0, 32.7351187357, 1.75575274733, 11.9319759235, 
192.0, 31.7121468032, 1.67149604767, 11.5099236358, 
193.0, 30.7048910658, 1.591278067, 11.1028529011, 
194.0, 29.742287648, 1.5149056546, 10.7102336995, 
195.0, 28.8304539214, 1.44219484557, 10.3315544475, 
196.0, 27.9293851198, 1.37297045703, 9.96632138509, 
197.0, 27.0559994009, 1.30706563884, 9.61405797893, 
198.0, 26.2094753251, 1.2443214974, 9.27430434631, 
199.0, 25.3890140814, 1.18458672959, 8.94661669814, 
200.0, 24.5938389655, 1.12771723192, 8.63056679568, 
201.0, 23.8231948474, 1.0735757889, 8.3257414227, 
202.0, 23.0763477097, 1.02203174013, 8.0317418784, 
203.0, 22.3522135083, 0.972960649668, 7.74818348221, 
204.0, 21.6503387351, 0.926244040067, 7.47469509546, 
205.0, 20.9702110962, 0.881769090084, 7.21091865802, 
206.0, 20.3111746231, 0.839428364738, 6.95650874086, 
207.0, 19.6725920548, 0.799119577248, 6.71113211327, 
208.0, 19.0538443619, 0.760745321593, 6.47446732057, 
209.0, 18.4543302737, 0.724212852631, 6.24620427885, 
210.0, 17.8734658552, 0.689433869832, 6.02604388152, 
211.0, 17.3106840578, 0.656324286031, 5.81369761838, 
212.0, 16.7654342833, 0.624804045575, 5.60888720905, 
213.0, 16.236888986, 0.594796927209, 5.41134424558, 
214.0, 15.7247468076, 0.56623034976, 5.22080984808, 
215.0, 15.228602418, 0.53903521669, 5.03703433345, 
216.0, 14.7479657133, 0.513145737168, 4.85977689416, 
217.0, 14.2823610026, 0.488499268539, 4.68880528554, 
218.0, 13.8313266274, 0.465036176509, 4.52389552665, 
219.0, 13.3944145969, 0.44269967745, 4.36483161139, 
220.0, 12.9711902106, 0.421435710446, 4.21140522606, 
221.0, 12.5612316882, 0.401192810026, 4.0634154786, 
222.0, 12.1641297983, 0.381921970333, 3.92066863827, 
223.0, 11.7794875379, 0.363576539373, 3.78297788204, 
224.0, 11.4069197853, 0.346112102846, 3.65016305025, 
225.0, 11.0468794738, 0.329261774599, 3.52205041191, 
226.0, 10.7012906578, 0.313167390514, 3.39847243621, 
227.0, 10.3664445757, 0.297859543236, 3.27926757365, 
228.0, 10.0420114919, 0.283299811979, 3.16428004327, 
229.0, 9.72767153946, 0.269451649428, 3.05335962764, 
230.0, 9.42311443671, 0.256280291531, 2.9463614755, 
231.0, 9.12803919491, 0.243752673559, 2.84314591116, 
232.0, 8.84215388213, 0.232006588194, 2.74357825028, 
233.0, 8.56517535778, 0.220901219448, 2.64752862234, 
234.0, 8.29682902011, 0.210327363051, 2.55487179899, 
235.0, 8.03684855643, 0.20025958878, 2.46548702782, 
236.0, 7.78497569148, 0.19067368002, 2.37925787327, 
237.0, 7.54095997464, 0.181546578391, 2.29607206292, 
238.0, 7.30455854747, 0.172863462887, 2.21582133868, 
239.0, 7.07553592285, 0.164597679384, 2.13840131348, 
240.0, 6.85366376668, 0.156727096821, 2.06371133238, 


--- Acid Uncertainty Analysis Quartiles ---
Time, Acid High, Acid Low, Acid Mean, 
0.0, 0.0, 0.0, 0.0, 
1.0, 45.6120887712, 32.6004195292, 38.9928144092, 
2.0, 90.9840953179, 65.0715567313, 77.7912455887, 
3.0, 136.111060683, 97.3976072541, 116.392631482, 
4.0, 180.97578161, 129.582051011, 154.794276337, 
5.0, 225.521849705, 161.623098294, 192.993450925, 
6.0, 269.80166143, 193.519114422, 230.987392883, 
7.0, 313.916936579, 225.268448728, 268.773307043, 
8.0, 357.776906643, 256.869435145, 306.348365783, 
9.0, 401.357233841, 288.320391363, 343.709709616, 
10.0, 444.5678421, 319.619619793, 380.854447641, 
11.0, 487.470424055, 350.736280589, 417.779658275, 
12.0, 530.071033041, 381.687501838, 454.482389864, 
13.0, 572.365429319, 412.534072139, 490.959661563, 
14.0, 614.280407952, 443.250455902, 527.20846418, 
15.0, 655.751769061, 473.765181328, 563.225761065, 
16.0, 696.874630804, 504.110984112, 599.008489454, 
17.0, 737.855477581, 534.292033744, 634.55356141, 
18.0, 778.424009172, 564.28682724, 669.857865116, 
19.0, 818.938247289, 594.027052731, 704.918266447, 
20.0, 859.293399013, 623.588205525, 739.731610308, 
21.0, 899.091392363, 653.103581548, 774.294722436, 
22.0, 938.406419831, 682.524141655, 808.604411135, 
23.0, 977.359727388, 711.624978829, 842.657469111, 
24.0, 1015.95007816, 740.410770619, 876.450675788, 
25.0, 1054.26541425, 769.002247649, 909.980799091, 
26.0, 1092.38048364, 797.399451526, 943.244598212, 
27.0, 1129.76413859, 825.603478541, 976.238825917, 
28.0, 1166.53672751, 853.610787893, 1008.96023114, 
29.0, 1202.94325833, 881.621309782, 1041.40556204, 
30.0, 1238.80547083, 909.474637379, 1073.57156871, 
31.0, 1274.23326318, 937.142785986, 1105.45500658, 
32.0, 1309.27246423, 964.6220368, 1137.05263943, 
33.0, 1344.49549488, 991.92902854, 1168.36124323, 
34.0, 1379.83722086, 1019.10127099, 1199.37760974, 
35.0, 1414.80270598, 1046.08668443, 1230.09855013, 
36.0, 1448.71158059, 1072.91774388, 1260.52089951, 
37.0, 1482.13148693, 1099.69013832, 1290.64152045, 
38.0, 1515.09943169, 1126.08593938, 1320.45730781, 
39.0, 1547.60519766, 1152.10663965, 1349.96519333, 
40.0, 1579.66434469, 1177.7575972, 1379.16215008, 
41.0, 1611.24938943, 1203.19819828, 1408.04519755, 
42.0, 1642.63892437, 1228.59170683, 1436.61140643, 
43.0, 1674.19247101, 1253.85970285, 1464.85790401, 
44.0, 1704.46219199, 1278.78910097, 1492.7818795, 
45.0, 1734.25084604, 1303.21636962, 1520.38058914, 
46.0, 1764.76934228, 1327.59036103, 1547.65136203, 
47.0, 1794.84275005, 1351.9936571, 1574.5916058, 
48.0, 1823.67001476, 1376.17726723, 1601.19881209, 
49.0, 1851.78900507, 1400.13940812, 1627.47056251, 
50.0, 1879.4140184, 1423.87832238, 1653.40453443, 
51.0, 1906.55958243, 1447.3922766, 1678.99850686, 
52.0, 1933.22319198, 1470.67956487, 1704.25036628, 
53.0, 1959.37096327, 1493.73851134, 1729.15811267, 
54.0, 1985.02975085, 1516.56747235, 1753.71986518, 
55.0, 2009.89860023, 1539.16483416, 1777.93386797, 
56.0, 2033.23479009, 1561.5290199, 1801.79849564, 
57.0, 2057.62803307, 1583.65849199, 1825.31225917, 
58.0, 2080.62058449, 1605.55175373, 1848.47381107, 
59.0, 2102.66621033, 1627.20735178, 1871.28195073, 
60.0, 2125.03711165, 1648.62387659, 1893.73562937, 
61.0, 2147.21532157, 1669.79996523, 1915.83395472, 
62.0, 2169.90193069, 1690.73430585, 1937.57619568, 
63.0, 2191.72220983, 1711.42563905, 1958.96178659, 
64.0, 2212.40246143, 1731.87276066, 1979.99033126, 
65.0, 2232.17746469, 1752.07784886, 2000.66160617, 
66.0, 2252.95194126, 1772.03938887, 2020.97556391, 
67.0, 2272.44413279, 1791.71637328, 2040.93233617, 
68.0, 2292.59702585, 1811.12123134, 2060.53223587, 
69.0, 2311.58528643, 1830.48656468, 2079.77575924, 
70.0, 2330.36463973, 1849.73969632, 2098.66358724, 
71.0, 2348.48525325, 1868.47073456, 2117.19658677, 
72.0, 2366.04634793, 1886.78596821, 2135.37581107, 
73.0, 2383.92381546, 1904.89061791, 2153.2024998, 
74.0, 2400.91800541, 1922.74054896, 2170.6780787, 
75.0, 2416.40175266, 1940.39807476, 2187.80415872, 
76.0, 2431.19376742, 1957.66552111, 2204.58253443, 
77.0, 2446.32194309, 1974.72766166, 2221.01518209, 
78.0, 2460.89282801, 1991.53409093, 2237.10425729, 
79.0, 2475.26593312, 2008.13176167, 2252.85209216, 
80.0, 2488.4665432, 2024.68476384, 2268.26119189, 
81.0, 2501.62660793, 2040.68161724, 2283.33423099, 
82.0, 2514.67062001, 2056.42273384, 2298.074049, 
83.0, 2527.20213316, 2071.83943832, 2312.48364572, 
84.0, 2540.16860684, 2087.09213093, 2326.56617633, 
85.0, 2551.94774291, 2102.0340819, 2340.32494591, 
86.0, 2563.53458429, 2116.71907627, 2353.7634036, 
87.0, 2574.75983656, 2131.15121954, 2366.88513666, 
88.0, 2586.88831521, 2145.38296009, 2379.69386401, 
89.0, 2598.03863957, 2159.36760191, 2392.19342966, 
90.0, 2606.85490721, 2173.10243811, 2404.38779591, 
91.0, 2617.73616606, 2186.58861158, 2416.28103643, 
92.0, 2628.0356239, 2199.82735962, 2427.87732891, 
93.0, 2637.90517514, 2212.82001337, 2439.18094791, 
94.0, 2646.66893939, 2225.62363782, 2450.19625748, 
95.0, 2655.89872446, 2238.26121743, 2460.92770372, 
96.0, 2663.61727077, 2250.8918775, 2471.37980732, 
97.0, 2671.80756059, 2263.07970306, 2481.55715617, 
98.0, 2679.52986002, 2274.9024014, 2491.46439793, 
99.0, 2686.21358134, 2286.48845513, 2501.10623258, 
100.0, 2693.73043503, 2297.83978648, 2510.48740522, 
101.0, 2701.63025217, 2308.95840023, 2519.61269892, 
102.0, 2708.90366077, 2319.6539328, 2528.48692765, 
103.0, 2716.67371883, 2330.52152764, 2537.11492936, 
104.0, 2721.76654266, 2340.95915511, 2545.50155927, 
105.0, 2727.90802394, 2351.20020303, 2553.65168335, 
106.0, 2735.15155586, 2361.52739733, 2561.57017196, 
107.0, 2740.70163565, 2371.86567065, 2569.26189381, 
108.0, 2747.1316333, 2381.99567166, 2576.7317099, 
109.0, 2753.85934718, 2391.91955705, 2583.98446802, 
110.0, 2760.00655778, 2401.63953417, 2591.02499725, 
111.0, 2766.16882978, 2410.70550646, 2597.8581028, 
112.0, 2771.42884885, 2418.73698495, 2604.48856113, 
113.0, 2776.49580038, 2426.57481081, 2610.92111521, 
114.0, 2781.43691087, 2434.2221346, 2617.16047023, 
115.0, 2786.88740528, 2441.68212262, 2623.21128938, 
116.0, 2792.22164135, 2449.46205935, 2629.07819, 
117.0, 2796.70995782, 2457.15616811, 2634.76574, 
118.0, 2800.50103508, 2464.71044746, 2640.27845447, 
119.0, 2805.48684317, 2472.52626632, 2645.62079262, 
120.0, 2808.77522934, 2479.38088666, 2650.79715487, 
121.0, 2813.45323066, 2486.25420348, 2655.81188031, 
122.0, 2817.49782346, 2494.16712917, 2660.6692442, 
123.0, 2820.29967726, 2500.67309643, 2665.373456, 
124.0, 2822.93438349, 2506.52056004, 2669.92865729, 
125.0, 2825.53472572, 2513.32492861, 2674.33892019, 
126.0, 2828.63085959, 2519.27869127, 2678.60824582, 
127.0, 2831.89702033, 2524.79597961, 2682.74056305, 
128.0, 2834.78996635, 2530.43063488, 2686.73972734, 
129.0, 2837.87126772, 2536.0956247, 2690.60951989, 
130.0, 2840.38959833, 2541.71589058, 2694.35364689, 
131.0, 2843.12389262, 2547.33621382, 2697.97573894, 
132.0, 2845.92039008, 2552.19286364, 2701.47935065, 
133.0, 2848.91564811, 2557.26985287, 2704.86796043, 
134.0, 2851.47661298, 2562.14030886, 2708.14497032, 
135.0, 2853.94589316, 2566.20141401, 2711.31370604, 
136.0, 2856.30002287, 2570.04214888, 2714.3774171, 
137.0, 2858.55885955, 2573.76885255, 2717.33927712, 
138.0, 2860.72597721, 2578.04051692, 2720.20238417, 
139.0, 2862.79160434, 2581.47908252, 2722.96976127, 
140.0, 2864.47461528, 2584.36255741, 2725.6443569, 
141.0, 2865.96985358, 2587.65933152, 2728.22904571, 
142.0, 2867.45406319, 2591.24116409, 2730.72662927, 
143.0, 2868.85035871, 2594.74832732, 2733.13983683, 
144.0, 2870.80483341, 2597.86050064, 2735.4713262, 
145.0, 2872.86563313, 2600.84357802, 2737.72368473, 
146.0, 2874.84803086, 2604.44871773, 2739.89943026, 
147.0, 2876.76708014, 2607.79026782, 2742.00101214, 
148.0, 2878.30459974, 2610.79587032, 2744.0308124, 
149.0, 2880.03854412, 2613.6834614, 2745.99114676, 
150.0, 2881.6906675, 2615.6132221, 2747.88426588, 
151.0, 2882.83381374, 2617.61503281, 2749.71235646, 
152.0, 2884.25797947, 2619.67534898, 2751.47754249, 
153.0, 2885.24816258, 2621.71417382, 2753.18188648, 
154.0, 2886.19513003, 2624.448056, 2754.82739067, 
155.0, 2887.11231984, 2627.03176292, 2756.41599834, 
156.0, 2888.00799277, 2628.84646394, 2757.94959499, 
157.0, 2888.86476614, 2631.25052723, 2759.4300097, 
158.0, 2889.68428521, 2632.77327327, 2760.85901635, 
159.0, 2890.53131666, 2633.86327085, 2762.23833491, 
160.0, 2891.76493204, 2634.99452431, 2763.5696327, 
161.0, 2893.1968089, 2636.83560536, 2764.85452568, 
162.0, 2894.57701184, 2638.30092679, 2766.09457968, 
163.0, 2895.90732191, 2639.98580968, 2767.29131168, 
164.0, 2896.90718311, 2641.62261617, 2768.44619107, 
165.0, 2897.52132463, 2642.95219845, 2769.56064081, 
166.0, 2898.01096704, 2643.78989102, 2770.63603872, 
167.0, 2898.6962849, 2644.91600328, 2771.67371865, 
168.0, 2899.76056443, 2646.45710089, 2772.67497168, 
169.0, 2900.78463097, 2648.56513766, 2773.64104727, 
170.0, 2901.7699509, 2650.38539018, 2774.57315443, 
171.0, 2902.71451281, 2651.48558292, 2775.47246285, 
172.0, 2903.51422596, 2652.2199955, 2776.34010404, 
173.0, 2904.06207889, 2652.6264652, 2777.17717235, 
174.0, 2904.57228441, 2653.05516247, 2777.98472615, 
175.0, 2905.05815575, 2654.11692547, 2778.76378878, 
176.0, 2905.54372608, 2655.18092772, 2779.51534966, 
177.0, 2906.146072, 2656.13787715, 2780.24036527, 
178.0, 2907.10244904, 2656.57336976, 2780.93976012, 
179.0, 2907.7457939, 2656.93415793, 2781.61442775, 
180.0, 2908.37574363, 2657.35986612, 2782.26523167, 
181.0, 2908.94390047, 2658.07540771, 2782.89300625, 
182.0, 2909.5858641, 2658.56790563, 2783.49855767, 
183.0, 2910.30198076, 2658.87513516, 2784.08266475, 
184.0, 2910.90745997, 2659.23034781, 2784.64607986, 
185.0, 2911.48632738, 2659.97160383, 2785.1895297, 
186.0, 2911.79444964, 2660.48539583, 2785.71371615, 
187.0, 2912.07004477, 2660.67780941, 2786.21931705, 
188.0, 2912.41880237, 2660.88581002, 2786.70698698, 
189.0, 2912.83026006, 2661.71222391, 2787.177358, 
190.0, 2913.21791867, 2661.80557172, 2787.63104038, 
191.0, 2913.58866961, 2662.9951972, 2788.06862331, 
192.0, 2913.94460143, 2663.27695174, 2788.4906756, 
193.0, 2914.32103694, 2663.57240705, 2788.89774633, 
194.0, 2914.76277332, 2663.71623212, 2789.29036553, 
195.0, 2915.24955039, 2664.14626812, 2789.66904479, 
196.0, 2915.68608865, 2664.38882807, 2790.03427785, 
197.0, 2916.0877285, 2664.64822234, 2790.38654125, 
198.0, 2916.51439569, 2665.19332814, 2790.72629489, 
199.0, 2916.87322502, 2665.47704422, 2791.05398253, 
200.0, 2917.24358262, 2665.52597866, 2791.37003244, 
201.0, 2917.77077478, 2665.89527077, 2791.67485781, 
202.0, 2917.93900142, 2666.45590665, 2791.96885735, 
203.0, 2918.20009497, 2666.99797614, 2792.25241575, 
204.0, 2918.34318294, 2667.44298393, 2792.52590414, 
205.0, 2918.48021366, 2667.53080097, 2792.78968057, 
206.0, 2918.67140929, 2667.61478051, 2793.04409049, 
207.0, 2919.27080759, 2667.67195108, 2793.28946712, 
208.0, 2919.7271788, 2667.70886639, 2793.52613191, 
209.0, 2919.86625589, 2667.7531449, 2793.75439495, 
210.0, 2919.96082806, 2667.80172626, 2793.97455535, 
211.0, 2920.04148754, 2668.00702167, 2794.18690161, 
