Date: 2018-01-28 13:59:07.881063

---Species concentration bounds--- 
afEst2 : (9.5, 10.5)
Ester : (3800.0, 4200.0)

--- Parameters --- 
afest_km_ester : (1300, 1700)
afest_kcat : (5, 7)


--- Ester Uncertainty Analysis Quartiles ---
Time, Ester High, Ester Low, Ester Mean, 
150.0, 328.766354803, 48.6092400504, 151.633524159, 
151.0, 319.789210124, 46.3522468421, 146.664346151, 
152.0, 311.015045635, 44.1968869447, 141.847137231, 
153.0, 302.441178868, 42.1388633189, 137.177924854, 
154.0, 294.064885272, 40.1740359373, 132.652800788, 
155.0, 285.883400801, 38.298418431, 128.267922487, 
156.0, 277.893924673, 36.508174697, 124.019514108, 
157.0, 270.093620904, 34.7996144808, 119.903867454, 
158.0, 262.479624439, 33.1691898624, 115.917342953, 
159.0, 255.049043752, 31.6134910098, 112.056370266, 
160.0, 247.798963997, 30.1292424691, 108.317448738, 
161.0, 240.726447811, 28.7132990196, 104.697147794, 
162.0, 233.828540975, 27.3626416751, 101.192107271, 
163.0, 227.102275594, 26.0743738494, 97.7990374464, 
164.0, 220.544673162, 24.8457171713, 94.5147191185, 
165.0, 214.152746161, 23.6740077989, 91.3360035324, 
166.0, 207.923501107, 22.5566923364, 88.2598121491, 
167.0, 201.853942648, 21.4913242447, 85.2831363426, 
168.0, 195.941075937, 20.4755598307, 82.4030370734, 
169.0, 190.181909485, 19.5071544396, 79.6166444382, 
170.0, 184.57345792, 18.5839594492, 76.9211571215, 
171.0, 179.112744738, 17.7039182228, 74.3138417694, 
172.0, 173.796804246, 16.8650628264, 71.7920323203, 
173.0, 168.622683643, 16.06551043, 69.3531293292, 
174.0, 163.587446333, 15.3034602694, 66.9945991246, 
175.0, 158.68817379, 14.5771904406, 64.7139729291, 
176.0, 153.921967426, 13.8850545708, 62.5088460738, 
177.0, 149.285950882, 13.2254791658, 60.3768770657, 
178.0, 144.777271984, 12.5969601948, 58.3157865722, 
179.0, 140.393104419, 11.9980608367, 56.3233564703, 
180.0, 136.130649276, 11.4274081103, 54.3974288207, 
181.0, 131.987137004, 10.8836907804, 52.5359048431, 
182.0, 127.959828796, 10.3656565255, 50.7367438244, 
183.0, 124.046017866, 9.87210949422, 48.9979620157, 
184.0, 120.243030838, 9.40190782505, 47.3176315889, 
185.0, 116.548228969, 8.95396157237, 45.6938795042, 
186.0, 112.959009232, 8.52723029132, 44.1248863999, 
187.0, 109.472805346, 8.120721014, 42.6088854415, 
188.0, 106.08708863, 7.73348615109, 41.1441612117, 
189.0, 102.799368823, 7.36462151369, 39.7290485997, 
190.0, 99.6071950115, 7.01326446401, 38.3619316351, 
191.0, 96.5081560857, 6.67859201411, 37.0412423932, 
192.0, 93.4998811768, 6.3598192078, 35.7654598506, 
193.0, 90.5800401474, 6.05619720635, 34.5331087963, 
194.0, 87.7463439108, 5.76701181143, 33.342758684, 
195.0, 84.9965453359, 5.49158207372, 32.1930225506, 
196.0, 82.3284393885, 5.22925877977, 31.0825559592, 
197.0, 79.7398628164, 4.9794226864, 30.0100558732, 
198.0, 77.2286945086, 4.74148331083, 28.9742596161, 
199.0, 74.7928555776, 4.51487787036, 27.9739437991, 
200.0, 72.4303092586, 4.29906989471, 27.0079232995, 
201.0, 70.1390607303, 4.0935479047, 26.0750502216, 
202.0, 67.9171569592, 3.89782438213, 25.1742129063, 
203.0, 65.8478297231, 3.71143467718, 24.3043349497, 
204.0, 63.8899913275, 3.53393593621, 23.4643742113, 
205.0, 61.9882675865, 3.36490610753, 22.6533218407, 
206.0, 60.1411691281, 3.2039429833, 21.870201347, 
207.0, 58.3472394361, 3.05066327969, 21.1140677029, 
208.0, 56.6050544381, 2.90470176743, 20.3840064382, 
209.0, 54.9132221552, 2.76571043779, 19.6791327259, 
210.0, 53.2703826895, 2.63335769277, 18.9985905377, 
211.0, 51.6752073995, 2.5073276017, 18.3415517907, 
212.0, 50.1263985132, 2.38731917597, 17.707215516, 
213.0, 48.6226887785, 2.27304562652, 17.094807059, 
214.0, 47.1628411382, 2.16423375674, 16.5035772715, 
215.0, 45.7456480461, 2.06062330625, 15.9328017559, 
216.0, 44.3699310426, 1.96196632379, 15.3817801181, 
217.0, 43.0345404282, 1.86802663766, 14.8498352069, 
218.0, 41.7383547688, 1.77857926288, 14.3363124145, 
219.0, 40.480280253, 1.69340988632, 13.8405789767, 
220.0, 39.259250256, 1.61231439007, 13.3620232799, 
221.0, 38.0742250167, 1.53509832931, 12.9000542194, 
222.0, 36.9241910084, 1.46157650782, 12.4541005388, 
223.0, 35.8081603997, 1.39157254488, 12.0236102036, 
224.0, 34.7251706044, 1.32491842681, 11.6080498041, 
225.0, 33.6742839062, 1.26145415005, 11.2069039433, 
226.0, 32.6545868102, 1.20102732639, 10.819674667, 
227.0, 31.6651895609, 1.14349280961, 10.4458809085, 
228.0, 30.7052257104, 1.08871238359, 10.0850579297, 
229.0, 29.7738516768, 1.0365544071, 9.73675680395, 
230.0, 28.8702461419, 0.98689351116, 9.40054389923, 
231.0, 27.9936095937, 0.9396103154, 9.07600037503, 
232.0, 27.1431639218, 0.894591117539, 8.7627216968, 
233.0, 26.3181519095, 0.851727645378, 8.46031717326, 
234.0, 25.5178367225, 0.810916798258, 8.16840949475, 
235.0, 24.7415014604, 0.772060381791, 7.88663429159, 
236.0, 23.9884487628, 0.735064899462, 7.61463970171, 
237.0, 23.2580002966, 0.69984131734, 7.3520859624, 
238.0, 22.5494963, 0.666304845154, 7.09864500203, 
239.0, 21.8622951579, 0.634374752688, 6.85400004996, 
240.0, 21.1957730013, 0.603974159446, 6.61784525802, 


--- Acid Uncertainty Analysis Quartiles ---
Time, Acid High, Acid Low, Acid Mean, 
0.0, 0.0, 0.0, 0.0, 
1.0, 50.7237533314, 36.3002105154, 43.5869500622, 
2.0, 101.27227587, 72.4964096776, 87.0411373512, 
3.0, 151.643021524, 108.587513508, 130.360795905, 
4.0, 201.833400788, 144.572425478, 173.544131485, 
5.0, 251.840780412, 180.450036493, 216.589321237, 
6.0, 301.662482966, 216.219224856, 259.494513646, 
7.0, 351.295785913, 251.878856215, 302.257828028, 
8.0, 400.737921001, 287.427783462, 344.877353948, 
9.0, 449.986073787, 322.864846615, 387.351150854, 
10.0, 499.037383494, 358.18887276, 429.677247809, 
11.0, 547.888942385, 393.398675966, 471.853643316, 
12.0, 596.537794881, 428.493057329, 513.878304951, 
13.0, 644.980937556, 463.470805058, 555.749168919, 
14.0, 693.215318627, 498.330694117, 597.464139664, 
15.0, 741.237837238, 533.07148627, 639.021089668, 
16.0, 789.045343485, 567.691930271, 680.417859082, 
17.0, 836.634638026, 602.190761702, 721.652255484, 
18.0, 884.002471407, 636.566702837, 762.722053772, 
19.0, 931.145544274, 670.818462716, 803.624995795, 
20.0, 978.060507219, 704.944737395, 844.358790137, 
21.0, 1024.74395998, 738.944209629, 884.921111933, 
22.0, 1071.19245233, 772.8155489, 925.309602743, 
